hour_of_day,day_of_week,day_of_month,month,time_since_last_min,time_since_last_normalized,incidents_last_1h,incidents_last_24h,incidents_last_7d,incidents_1h_normalized,incidents_24h_normalized,incidents_7d_normalized,rolling_frequency,logs_count,metrics_count,has_data,logs_count_normalized,metrics_count_normalized,success_rate_last_10,failure_rate_last_10,success_rate_today,action_historical_success_rate,type_action_success_rate,last_action_success,retry_count_1h,retry_count_normalized,escalation_flag,action_effectiveness_score,incident_type_encoded,source_encoded,original_type_encoded,diagnosis_code_encoded,strategy_encoded,severity_encoded,action_type_encoded,source_category_encoded,last_action_taken_encoded
1,3,9,4,24.0,0.016666666666666666,2,45,45,0.2,1.0,0.45,1.0,6,4,1,0.12,0.08,0.3,0.7,0.3404255319148936,0.3409090909090909,0.3170731707317073,1,0,0.0,1,0.3286363636363636,2,2,1,0,1,1,1,2,0
16,1,7,4,27.0,0.01875,3,26,26,0.3,1.0,0.26,1.0,6,4,1,0.12,0.08,0.6,0.4,0.5866666666666667,0.625,0.64,1,0,0.0,0,0.5575,0,0,0,2,0,1,0,0,3
14,0,6,4,27.0,0.01875,3,4,4,0.3,0.2,0.04,0.4,3,4,1,0.06,0.08,0.6,0.4,0.6875,0.6909090909090909,0.5,1,0,0.0,0,0.6909090909090909,3,3,2,1,2,1,0,3,1
9,2,8,4,25.0,0.017361111111111112,2,14,14,0.2,0.7,0.14,1.0,8,4,1,0.16,0.08,0.3,0.7,0.5833333333333334,0.4375,0.38461538461538464,0,0,0.0,1,0.34825,2,2,1,0,1,1,1,2,0
15,1,7,4,25.0,0.017361111111111112,2,23,23,0.2,1.0,0.23,1.0,9,4,1,0.18,0.08,0.7,0.30000000000000004,0.5789473684210527,1.0,0.5,1,0,0.0,0,0.706,0,0,0,2,1,1,1,0,3
6,2,8,4,48.0,0.03333333333333333,1,9,9,0.1,0.45,0.09,0.9,12,4,1,0.24,0.08,0.5,0.5,0.6,0.5,0.4444444444444444,1,0,0.0,1,0.386,2,2,1,0,1,1,1,2,0
16,1,7,4,26.0,0.018055555555555554,2,24,24,0.2,1.0,0.24,1.0,10,4,1,0.2,0.08,0.7,0.30000000000000004,0.581081081081081,0.6333333333333333,0.6521739130434783,1,0,0.0,0,0.5573333333333333,0,0,0,2,0,1,0,0,0
1,2,8,4,35.0,0.024305555555555556,0,0,0,0.0,0.0,0.0,0.0,7,4,1,0.14,0.08,0.7,0.30000000000000004,0.6296296296296297,0.6666666666666666,0.5,1,0,0.0,1,0.47866666666666663,2,2,1,0,1,3,1,2,3
17,0,6,4,29.0,0.02013888888888889,3,11,11,0.3,0.55,0.11,1.0,11,4,1,0.22,0.08,0.7,0.30000000000000004,0.6901408450704225,0.6666666666666666,0.6666666666666666,0,0,0.0,0,0.5026666666666666,3,3,2,1,3,0,0,3,3
3,3,9,4,42.0,0.029166666666666667,1,46,49,0.1,1.0,0.49,1.0,9,4,1,0.18,0.08,0.3,0.7,0.32608695652173914,0.3541666666666667,0.3333333333333333,0,0,0.0,1,0.34991666666666665,2,2,1,0,1,1,1,2,0
13,1,7,4,24.0,0.016666666666666666,4,14,14,0.4,0.7,0.14,1.0,0,4,1,0.0,0.08,0.8,0.19999999999999996,0.581081081081081,0.6190476190476191,0.6428571428571429,1,0,0.0,0,0.5113333333333333,0,0,0,2,0,1,0,0,3
23,1,7,4,12.0,0.008333333333333333,3,50,50,0.3,1.0,0.5,1.0,10,4,1,0.2,0.08,0.6,0.4,0.6103896103896104,0.6181818181818182,0.625,1,0,0.0,0,0.6181818181818182,0,0,0,2,0,1,0,0,3
6,1,7,4,15.0,0.010416666666666666,4,52,52,0.4,1.0,0.52,1.0,9,4,1,0.18,0.08,0.8,0.19999999999999996,0.5949367088607594,0.5625,0.5625,1,0,0.0,0,0.55575,3,3,2,1,3,0,0,3,1
11,1,7,4,15.0,0.010416666666666666,3,8,8,0.3,0.4,0.08,0.8,10,4,1,0.2,0.08,0.6,0.4,0.581081081081081,0.6,0.625,1,0,0.0,0,0.474,0,0,0,2,0,1,0,0,3
7,0,6,4,19.0,0.013194444444444444,3,37,37,0.3,1.0,0.37,1.0,2,4,1,0.04,0.08,0.5,0.5,0.7297297297297297,0.7297297297297297,0.7297297297297297,1,3,0.6,0,0.6728108108108108,1,1,3,3,2,1,0,1,2
22,6,5,4,20.0,0.013888888888888888,3,3,3,0.3,0.15,0.03,1.0,3,4,1,0.06,0.08,1.0,0.0,1.0,1.0,1.0,1,3,0.6,0,0.718,1,1,3,3,2,3,0,1,2
0,2,8,4,12.0,0.008333333333333333,5,53,53,0.5,1.0,0.53,1.0,3,4,1,0.06,0.08,0.7,0.30000000000000004,0.620253164556962,0.6379310344827587,0.6470588235294118,1,0,0.0,0,0.6379310344827587,0,0,0,2,0,1,0,0,3
1,3,9,4,37.0,0.025694444444444443,1,46,46,0.1,1.0,0.46,1.0,8,4,1,0.16,0.08,0.4,0.6,0.32608695652173914,0.35555555555555557,0.3333333333333333,1,0,0.0,1,0.3448888888888889,2,2,1,0,1,1,1,2,0
0,2,8,4,16.0,0.011111111111111112,6,54,54,0.6,1.0,0.54,1.0,6,4,1,0.12,0.08,0.7,0.30000000000000004,0.6025641025641025,0.6271186440677966,0.6346153846153846,0,0,0.0,0,0.6271186440677966,0,0,0,2,0,1,0,0,3
5,2,8,4,41.0,0.02847222222222222,1,6,6,0.1,0.3,0.06,0.6,7,4,1,0.14,0.08,0.4,0.6,0.6282051282051282,0.4444444444444444,0.3333333333333333,0,0,0.0,1,0.3351111111111111,2,2,1,0,1,1,1,2,0
5,0,6,4,13.0,0.009027777777777777,5,30,30,0.5,1.0,0.3,1.0,0,4,1,0.0,0.08,0.6,0.4,0.7333333333333333,0.7333333333333333,0.7333333333333333,0,5,1.0,0,0.6453333333333333,1,1,3,3,2,1,0,1,2
19,0,6,4,14.0,0.009722222222222222,3,19,19,0.3,0.95,0.19,1.0,1,4,1,0.02,0.08,0.4,0.6,0.6708860759493671,0.5882352941176471,0.5882352941176471,0,0,0.0,0,0.471764705882353,3,3,2,1,3,0,0,3,1
22,2,8,4,44.0,0.030555555555555555,1,40,40,0.1,1.0,0.4,1.0,8,4,1,0.16,0.08,0.3,0.7,0.41509433962264153,0.358974358974359,0.3333333333333333,0,0,0.0,1,0.3352820512820513,2,2,1,0,1,1,1,2,0
18,1,7,4,14.0,0.009722222222222222,4,32,32,0.4,1.0,0.32,1.0,12,4,1,0.24,0.08,0.6,0.4,0.5844155844155844,0.6052631578947368,0.6129032258064516,0,0,0.0,0,0.5616842105263158,0,0,0,2,0,1,0,0,3
8,0,6,4,13.0,0.009027777777777777,6,42,42,0.6,1.0,0.42,1.0,2,4,1,0.04,0.08,0.6,0.4,0.7142857142857143,0.7073170731707317,0.7073170731707317,0,5,1.0,0,0.6691219512195121,1,1,3,3,2,1,0,1,2
0,0,6,4,22.0,0.015277777777777777,4,10,10,0.4,0.5,0.1,1.0,8,4,1,0.16,0.08,0.8,0.19999999999999996,0.8,0.8,0.8,0,4,0.8,0,0.6080000000000001,1,1,3,3,2,1,0,1,2
16,2,8,4,35.0,0.024305555555555556,2,27,27,0.2,1.0,0.27,1.0,12,4,1,0.24,0.08,0.3,0.7,0.4918032786885246,0.37037037037037035,0.3333333333333333,1,0,0.0,1,0.31925925925925924,2,2,1,0,1,1,1,2,0
9,1,7,4,5.0,0.003472222222222222,1,1,1,0.1,0.05,0.01,0.1,7,4,1,0.14,0.08,0.7,0.30000000000000004,0.5675675675675675,0.625,1.0,1,1,0.2,0,0.4675,0,0,0,2,0,2,0,0,3
22,0,6,4,10.0,0.006944444444444444,3,27,27,0.3,1.0,0.27,1.0,8,4,1,0.16,0.08,0.8,0.19999999999999996,0.6823529411764706,0.6666666666666666,0.6666666666666666,1,0,0.0,0,0.5626666666666666,3,3,2,1,3,0,0,3,1
2,0,6,4,19.0,0.013194444444444444,3,17,17,0.3,0.85,0.17,1.0,6,4,1,0.12,0.08,0.9,0.09999999999999998,0.8823529411764706,0.8823529411764706,0.8823529411764706,1,3,0.6,0,0.7076470588235294,1,1,3,3,2,1,0,1,2
20,2,8,4,38.0,0.02638888888888889,1,34,34,0.1,1.0,0.34,1.0,9,4,1,0.18,0.08,0.4,0.6,0.45614035087719296,0.6842105263157895,0.5,1,0,0.0,1,0.6842105263157895,2,2,1,0,2,1,0,2,0
13,2,8,4,44.0,0.030555555555555555,1,21,21,0.1,1.0,0.21,1.0,7,4,1,0.14,0.08,0.2,0.8,0.5230769230769231,0.38095238095238093,0.3333333333333333,0,0,0.0,1,0.31466666666666665,2,2,1,0,1,1,1,2,0
7,0,6,4,19.0,0.013194444444444444,3,36,36,0.3,1.0,0.36,1.0,8,4,1,0.16,0.08,0.5,0.5,0.7222222222222222,0.7222222222222222,0.7222222222222222,1,3,0.6,0,0.6615555555555556,1,1,3,3,2,1,0,1,2
5,1,7,4,24.0,0.016666666666666666,2,49,49,0.2,1.0,0.49,1.0,10,4,1,0.2,0.08,0.5,0.5,0.5769230769230769,0.5333333333333333,0.5333333333333333,1,0,0.0,0,0.5173333333333333,3,3,2,1,3,0,0,3,1
0,2,8,4,15.0,0.010416666666666666,5,55,55,0.5,1.0,0.55,1.0,7,4,1,0.14,0.08,0.8,0.19999999999999996,0.6075949367088608,0.6333333333333333,0.6415094339622641,1,0,0.0,0,0.6333333333333333,0,0,0,2,0,1,0,0,3
8,1,7,4,23.0,0.01597222222222222,2,59,59,0.2,1.0,0.59,1.0,9,4,1,0.18,0.08,0.8,0.19999999999999996,0.581081081081081,0.6964285714285714,1.0,1,0,0.0,0,0.6964285714285714,3,3,2,1,2,0,0,3,1
8,0,6,4,13.0,0.009027777777777777,4,39,39,0.4,1.0,0.39,1.0,2,4,1,0.04,0.08,0.6,0.4,0.717948717948718,0.5,0.5,0,4,0.8,0,0.5,1,1,3,3,0,1,0,1,2
8,0,6,4,6.0,0.004166666666666667,7,44,44,0.7,1.0,0.44,1.0,8,4,1,0.16,0.08,0.7,0.30000000000000004,0.7272727272727273,0.7142857142857143,0.7142857142857143,1,5,1.0,0,0.6799999999999999,1,1,3,3,2,1,0,1,3
9,0,6,4,17.0,0.011805555555555555,4,46,46,0.4,1.0,0.46,1.0,3,4,1,0.06,0.08,0.8,0.19999999999999996,0.7391304347826086,0.7209302325581395,0.7209302325581395,1,2,0.4,0,0.6906511627906976,1,1,3,3,2,1,0,1,0
3,1,7,4,28.0,0.019444444444444445,3,43,43,0.3,1.0,0.43,1.0,6,4,1,0.12,0.08,0.4,0.6,0.573170731707317,0.5128205128205128,0.5128205128205128,1,0,0.0,0,0.47897435897435897,3,3,2,1,3,0,0,3,1
21,2,8,4,24.0,0.016666666666666666,1,36,36,0.1,1.0,0.36,1.0,2,4,1,0.04,0.08,0.3,0.7,0.42857142857142855,0.34285714285714286,0.3125,0,0,0.0,1,0.312,2,2,1,0,1,1,1,2,0
17,2,8,4,26.0,0.018055555555555554,2,30,30,0.2,1.0,0.3,1.0,3,4,1,0.06,0.08,0.3,0.7,0.47540983606557374,0.36666666666666664,0.3333333333333333,0,0,0.0,1,0.32266666666666666,2,2,1,0,1,1,1,2,0
22,1,7,4,24.0,0.016666666666666666,4,45,45,0.4,1.0,0.45,1.0,7,4,1,0.14,0.08,0.5,0.5,0.5584415584415584,0.6,0.6046511627906976,0,0,0.0,0,0.6,0,0,0,2,0,1,0,0,3
23,1,7,4,21.0,0.014583333333333334,2,48,48,0.2,1.0,0.48,1.0,5,4,1,0.1,0.08,0.6,0.4,0.5921052631578947,0.6037735849056604,0.6086956521739131,0,0,0.0,0,0.6037735849056604,0,0,0,2,0,1,0,0,3
22,0,6,4,7.0,0.004861111111111111,5,30,30,0.5,1.0,0.3,1.0,7,4,1,0.14,0.08,0.6,0.4,0.6511627906976745,0.5925925925925926,0.5925925925925926,0,0,0.0,0,0.5108148148148148,3,3,2,1,3,0,0,3,1
20,0,6,4,25.0,0.017361111111111112,3,20,20,0.3,1.0,0.2,1.0,11,4,1,0.22,0.08,0.5,0.5,0.675,0.6111111111111112,0.6111111111111112,1,0,0.0,0,0.49377777777777787,3,3,2,1,3,0,0,3,1
18,1,7,4,19.0,0.013194444444444444,4,33,33,0.4,1.0,0.33,1.0,9,4,1,0.18,0.08,0.5,0.5,0.5714285714285714,0.5897435897435898,0.59375,0,0,0.0,0,0.5508205128205129,0,0,0,2,0,1,0,0,3
12,0,6,4,12.0,0.008333333333333333,3,57,57,0.3,1.0,0.57,1.0,8,4,1,0.16,0.08,0.5,0.5,0.7017543859649122,0.6666666666666666,0.6666666666666666,0,3,0.6,0,0.47866666666666663,1,1,3,3,0,1,0,1,2
21,1,7,4,12.0,0.008333333333333333,4,44,44,0.4,1.0,0.44,1.0,8,4,1,0.16,0.08,0.6,0.4,0.569620253164557,0.6122448979591837,0.6190476190476191,0,0,0.0,0,0.6085714285714285,0,0,0,2,0,1,0,0,3
13,1,7,4,17.0,0.011805555555555555,4,16,16,0.4,0.8,0.16,1.0,4,4,1,0.08,0.08,0.8,0.19999999999999996,0.6,0.6521739130434783,0.6875,1,0,0.0,0,0.5465217391304348,0,0,0,2,0,1,0,0,3
1,0,6,4,19.0,0.013194444444444444,4,14,14,0.4,0.7,0.14,1.0,3,4,1,0.06,0.08,0.8,0.19999999999999996,0.8571428571428571,0.8571428571428571,0.8571428571428571,1,4,0.8,0,0.672,1,1,3,3,2,1,0,1,2
0,1,7,4,33.0,0.022916666666666665,2,36,36,0.2,1.0,0.36,1.0,7,4,1,0.14,0.08,0.4,0.6,0.6309523809523809,0.59375,0.59375,1,0,0.0,0,0.529625,3,3,2,1,3,0,0,3,1
20,1,7,4,17.0,0.011805555555555555,2,39,39,0.2,1.0,0.39,1.0,6,4,1,0.12,0.08,0.5,0.5,0.5789473684210527,0.6,0.6052631578947368,1,0,0.0,0,0.582,0,0,0,2,0,1,0,0,3
23,2,8,4,14.0,0.009722222222222222,2,42,42,0.2,1.0,0.42,1.0,14,4,1,0.28,0.08,0.3,0.7,0.38461538461538464,0.34146341463414637,0.3157894736842105,0,0,0.0,1,0.32302439024390245,2,2,1,0,1,1,1,2,0
21,1,7,4,5.0,0.003472222222222222,4,43,43,0.4,1.0,0.43,1.0,9,4,1,0.18,0.08,0.7,0.30000000000000004,0.5769230769230769,0.625,0.6341463414634146,1,0,0.0,0,0.6174999999999999,0,0,0,2,0,1,0,0,3
10,2,8,4,40.0,0.027777777777777776,1,16,16,0.1,0.8,0.16,1.0,6,4,1,0.12,0.08,0.3,0.7,0.5774647887323944,0.5818181818181818,0.5,0,0,0.0,1,0.5818181818181818,2,2,1,0,3,1,0,2,0
14,1,7,4,15.0,0.010416666666666666,4,18,18,0.4,0.9,0.18,1.0,8,4,1,0.16,0.08,0.7,0.30000000000000004,0.6,0.64,0.6666666666666666,0,0,0.0,0,0.544,0,0,0,2,0,1,0,0,3
11,0,6,4,23.0,0.01597222222222222,3,53,53,0.3,1.0,0.53,1.0,11,4,1,0.22,0.08,0.7,0.30000000000000004,0.7169811320754716,0.7142857142857143,0.7142857142857143,1,2,0.4,0,0.71,1,1,3,3,2,1,0,1,2
1,0,6,4,23.0,0.01597222222222222,4,16,16,0.4,0.8,0.16,1.0,8,4,1,0.16,0.08,0.9,0.09999999999999998,0.875,0.875,0.875,1,4,0.8,0,0.6965,1,1,3,3,2,1,0,1,2
12,1,7,4,13.0,0.009027777777777777,3,11,11,0.3,0.55,0.11,1.0,7,4,1,0.14,0.08,0.5,0.5,0.5616438356164384,0.5555555555555556,0.5454545454545454,1,0,0.0,0,0.44888888888888895,0,0,0,2,0,1,0,0,3
18,1,7,4,14.0,0.009722222222222222,3,34,34,0.3,1.0,0.34,1.0,8,4,1,0.16,0.08,0.5,0.5,0.5844155844155844,0.6,0.6060606060606061,1,0,0.0,0,0.5640000000000001,0,0,0,2,0,1,0,0,3
